College Name,Private,Apps,Accept,Enroll,Top10perc,Outstate,PhD,S.F.Ratio,perc.alumni,Expend,Grad.Rate,AccpetRate,Score
Abilene Christian University,Yes,1660,1232,721,23,7440,70,18.1,12,7041,60,0.74,0
Adelphi University,Yes,2186,1924,512,16,12280,29,12.2,16,10527,56,0.88,0
Adrian College,Yes,1428,1097,336,22,11250,53,12.9,30,8735,54,0.77,0
Agnes Scott College,Yes,417,349,137,60,12960,92,7.7,37,19016,59,0.84,0
Alaska Pacific University,Yes,193,146,55,16,7560,76,11.9,2,10922,15,0.76,0
Albertson College,Yes,587,479,158,38,13500,67,9.4,11,9727,55,0.82,0
Albertus Magnus College,Yes,353,340,103,17,13290,90,11.5,26,8861,63,0.96,0
Albion College,Yes,1899,1720,489,37,13868,89,13.7,37,11487,73,0.91,0
Albright College,Yes,1038,839,227,30,15595,79,11.3,23,11644,80,0.81,0
Alderson-Broaddus College,Yes,582,498,172,21,10468,40,11.5,15,8991,52,0.86,0
Alfred University,Yes,1732,1425,472,37,16548,82,11.3,31,10932,73,0.82,0
Allegheny College,Yes,2652,1900,484,44,17080,73,9.9,41,11711,76,0.72,0
Allentown Coll. of St. Francis de Sales,Yes,1179,780,290,38,9690,60,13.3,21,7940,74,0.66,0
Alma College,Yes,1267,1080,385,44,12572,79,15.3,32,9305,68,0.85,0
Alverno College,Yes,494,313,157,23,8352,36,11.1,26,8127,55,0.63,0
American International College,Yes,1420,1093,220,9,8700,78,14.7,19,7355,69,0.77,0
Amherst College,Yes,4302,992,418,83,19760,93,8.4,63,21424,100,0.23,0
Anderson University,Yes,1216,908,423,19,10100,48,12.1,14,7994,59,0.75,0
Andrews University,Yes,1130,704,322,14,9996,62,11.5,18,10908,46,0.62,0
Angelo State University,No,3540,2001,1016,24,5130,60,23.1,5,4010,34,0.57,0
Antioch University,Yes,713,661,252,25,15476,69,11.3,35,42926,48,0.93,0
Appalachian State University,No,7313,4664,1910,20,6806,83,18.3,14,5854,70,0.64,0
Aquinas College,Yes,619,516,219,20,11208,55,12.7,25,6584,65,0.83,0
Arizona State University Main campus,No,12809,10308,3761,24,7434,88,18.9,5,4602,48,0.8,0
Arkansas College (Lyon College),Yes,708,334,166,46,8644,79,12.6,24,14579,54,0.47,0
Arkansas Tech University,No,1734,1729,951,12,3460,57,19.6,5,4739,48,1,0
Assumption College,Yes,2135,1700,491,23,12000,93,13.8,30,7100,88,0.8,0
Auburn University-Main Campus,No,7548,6791,3070,25,6300,85,16.7,18,6642,69,0.9,0
Augsburg College,Yes,662,513,257,12,11902,65,12.8,31,7836,58,0.77,0
Augustana College IL,Yes,1879,1658,497,36,13353,78,12.7,40,9220,71,0.88,0
Augustana College,Yes,761,725,306,21,10990,66,10.4,30,6871,69,0.95,0
Austin College,Yes,948,798,295,42,11280,81,13,33,11361,71,0.84,0
Averett College,Yes,627,556,172,16,9925,59,22.4,11,6523,48,0.89,0
