College Name,Private,Apps,Accept,Enroll,Top10perc,Outstate,PhD,S.F.Ratio,perc.alumni,Expend,Grad.Rate,AccpetRate,Score
Adelphi University,Yes,2186,1924,512,16.0,12280,29.0,12.2,16.0,10527.0,56,0.88,5.0
Adrian College,Yes,1428,1097,336,22.0,11250,53.0,12.9,30.0,8735.0,54,0.77,7.0
Agnes Scott College,Yes,417,349,137,60.0,12960,92.0,7.7,37.0,19016.0,59,0.84,13.0
Alaska Pacific University,Yes,193,146,55,16.0,7560,76.0,11.9,2.0,10922.0,15,0.76,8.0
Albertson College,Yes,587,479,158,38.0,13500,67.0,9.4,11.0,9727.0,55,0.82,9.0
Albertus Magnus College,Yes,353,340,103,17.0,13290,90.0,11.5,26.0,8861.0,63,0.96,8.0
Albion College,Yes,1899,1720,489,37.0,13868,89.0,13.7,37.0,11487.0,73,0.91,9.0
Albright College,Yes,1038,839,227,30.0,15595,79.0,11.3,23.0,11644.0,80,0.81,10.0
Alderson-Broaddus College,Yes,582,498,172,21.0,10468,40.0,11.5,15.0,8991.0,52,0.86,5.0
Alfred University,Yes,1732,1425,472,37.0,16548,82.0,11.3,31.0,10932.0,73,0.82,10.0
Allegheny College,Yes,2652,1900,484,44.0,17080,73.0,9.9,41.0,11711.0,76,0.72,12.0
Allentown Coll. of St. Francis de Sales,Yes,1179,780,290,38.0,9690,60.0,13.3,21.0,7940.0,74,0.66,9.0
Alma College,Yes,1267,1080,385,44.0,12572,79.0,15.3,32.0,9305.0,68,0.85,7.0
Alverno College,Yes,494,313,157,23.0,8352,36.0,11.1,26.0,8127.0,55,0.63,8.0
American International College,Yes,1420,1093,220,9.0,8700,78.0,14.7,19.0,7355.0,69,0.77,7.0
Amherst College,Yes,4302,992,418,83.0,19760,93.0,8.4,63.0,21424.0,100,0.23,17.0
Anderson University,Yes,1216,908,423,19.0,10100,48.0,12.1,14.0,7994.0,59,0.75,5.0
Andrews University,Yes,1130,704,322,14.0,9996,62.0,11.5,18.0,10908.0,46,0.62,7.0
Angelo State University,No,3540,2001,1016,24.0,5130,60.0,23.1,5.0,4010.0,34,0.57,2.0
Antioch University,Yes,713,661,252,25.0,15476,69.0,11.3,35.0,42926.0,48,0.93,8.0
Appalachian State University,No,7313,4664,1910,20.0,6806,83.0,18.3,14.0,5854.0,70,0.64,5.0
Aquinas College,Yes,619,516,219,20.0,11208,55.0,12.7,25.0,6584.0,65,0.83,8.0
Arizona State University Main campus,No,12809,10308,3761,24.0,7434,88.0,18.9,5.0,4602.0,48,0.8,2.0
